"","ETABLISSEMENT","FORMATION","","","","","","","","","UNITE DE VALEUR (COURS)","","","","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Formation initiale ou continue","Comptabilité"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","ETABLISSEMENT","FORMATION","","","","","","","","","UNITE DE VALEUR (COURS)","","","","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Formation initiale ou continue","Comptabilité"
"Ecole_ingénieurs","Centrale Nantes","Mastère spécialisé Marketing, Design et Création","Sciences, Technologie, Santé","Sciences de l'ingénieur","Pour managers, designers et ingénieurs. Il leur apprend à travailler main dans la main au service de l'entreprise, via le design thinking. Le MS MDC est une formation co-accréditée Audencia Business School et Ecole Centrale de Nantes et en partenariat avec l'Ecole de Design de Nantes.","Bac+4","","1.0","","https://www.ec-nantes.fr/masteres-specialises/mastere-specialise-marketing-design-et-creation-189319.kjsp?RH=1488464866302

https://masteres-specialises.audencia.com/programmes/mastere-specialise-marketing-design-et-creation/","Oui","Non","","","","","","","","Initiale","1.0"
"Ecole_ingénieurs","Centrale Nantes","Mastère spécialisé Expert en ingénierie des matériaux composites et leurs procédés de fabrication","Sciences, Technologie, Santé","Sciences de l'ingénieur","Le MS Composites permet d'accéder à des fonctions au sein de bureaux d'études, de bureaux des méthodes, de service de recherche dans les secteurs de la construction aéronautique, automobile, navale, mécanique, de la construction, du bâtiment, du génie civil, de la fabrication d'articles et de matériels sportifs...","Bac+5","Bac+6","1.0","","https://www.ec-nantes.fr/masteres-specialises/mastere-specialise-expert-en-ingenierie-des-materiaux-composites-et-leurs-procedes-de-fabrication-189373.kjsp?RH=1488464866302","Oui","Non","","","","","","","","Initiale","1.0"
"Ecole_ingénieurs","Centrale Nantes","Mastère spécialisé Analyse du cycle de vie du navire/ Life Cycle Assessment of Ship (LICAS)","Sciences, Technologie, Santé","Sciences de l'ingénieur","Porté par Centrale Nantes, l'Ecole Navale et l’Ecole Nationale Supérieure Maritime, ce diplôme s'adresse à des étudiants  qui souhaitent acquérir une expertise, une double compétence ou souhaitant approfondir un domaine dans une perspective d’évolution de carrière. 
Le Mastère Spécialisé «Life Cycle Assessment of Ship (LICAS)» a pour objectif de former à la fois des experts possédant, dans le domaine du cycle de vie du navire, des compétences de recherche et développement et de gestion de projets. ","Bac+5","Bac+6","1.0","60.0","https://www.ec-nantes.fr/masteres-specialises/mastere-specialise-analyse-du-cycle-de-vie-du-navire-life-cycle-assessment-of-ship-licas--239719.kjsp?RH=1488464866302","Oui","Oui","Fondamentaux des sciences de l'environnement","","Obligatoire","6.0","48.0","","","Initiale ou continue","1.0"
"Ecole_ingénieurs","Centrale Nantes","Mastère spécialisé Analyse du cycle de vie du navire/ Life Cycle Assessment of Ship (LICAS)","Sciences, Technologie, Santé","Sciences de l'ingénieur","Porté par Centrale Nantes, l'Ecole Navale et l’Ecole Nationale Supérieure Maritime, ce diplôme s'adresse à des étudiants  qui souhaitent acquérir une expertise, une double compétence ou souhaitant approfondir un domaine dans une perspective d’évolution de carrière. 
Le Mastère Spécialisé «Life Cycle Assessment of Ship (LICAS)» a pour objectif de former à la fois des experts possédant, dans le domaine du cycle de vie du navire, des compétences de recherche et développement et de gestion de projets. ","Bac+5","Bac+6","1.0","60.0","https://www.ec-nantes.fr/masteres-specialises/mastere-specialise-analyse-du-cycle-de-vie-du-navire-life-cycle-assessment-of-ship-licas--239719.kjsp?RH=1488464866303","Oui","Oui","Eco-conception et outils","","Obligatoire","4.0","24.0","","","Initiale ou continue",""
"Ecole_ingénieurs","Centrale Nantes","Mastère spécialisé Analyse du cycle de vie du navire/ Life Cycle Assessment of Ship (LICAS)","Sciences, Technologie, Santé","Sciences de l'ingénieur","Porté par Centrale Nantes, l'Ecole Navale et l’Ecole Nationale Supérieure Maritime, ce diplôme s'adresse à des étudiants  qui souhaitent acquérir une expertise, une double compétence ou souhaitant approfondir un domaine dans une perspective d’évolution de carrière. 
Le Mastère Spécialisé «Life Cycle Assessment of Ship (LICAS)» a pour objectif de former à la fois des experts possédant, dans le domaine du cycle de vie du navire, des compétences de recherche et développement et de gestion de projets. ","Bac+5","Bac+6","1.0","60.0","https://www.ec-nantes.fr/masteres-specialises/mastere-specialise-analyse-du-cycle-de-vie-du-navire-life-cycle-assessment-of-ship-licas--239719.kjsp?RH=1488464866304","Oui","Oui","Analyse du cycle de vie","","Obligatoire","3.0","24.0","","","Initiale ou continue",""
